r,g,b,movie
137,124,115,Dune: Part Two
181,172,167,Dune: Part Two
79,105,120,The Royal Tenenbaums
24,37,27,The Royal Tenenbaums
99,184,212,The Royal Tenenbaums
199,219,200,The Royal Tenenbaums
149,44,35,The Royal Tenenbaums
130,141,141,Once Upon a Time… in Hollywood
0,0,0,Once Upon a Time… in Hollywood
63,65,64,Once Upon a Time… in Hollywood
226,214,197,Once Upon a Time… in Hollywood
183,128,23,Once Upon a Time… in Hollywood
71,72,74,Brokeback Mountain
156,176,202,Brokeback Mountain
4,4,5,Brokeback Mountain
220,227,237,Brokeback Mountain
128,134,132,Brokeback Mountain
94,97,96,Before Sunset
217,219,220,Before Sunset
28,24,18,Before Sunset
159,151,149,Before Sunset
192,99,59,Before Sunset
90,114,145,Lost in Translation
4,5,5,Lost in Translation
244,239,211,Lost in Translation
80,74,79,Lost in Translation
148,156,156,Lost in Translation
1,1,1,Gladiator
131,126,125,Gladiator
235,209,192,Gladiator
70,59,63,Gladiator
191,175,162,Gladiator
73,110,168,Spider-Man: Into the Spider-Verse
209,211,214,Spider-Man: Into the Spider-Verse
196,25,25,Spider-Man: Into the Spider-Verse
48,24,30,Spider-Man: Into the Spider-Verse
186,133,90,Spider-Man: Into the Spider-Verse
1,1,0,Aftersun
155,140,132,Aftersun
14,73,107,Aftersun
104,45,48,Aftersun
197,206,212,Aftersun
130,131,125,Lady Bird
71,67,61,Lady Bird
0,0,0,Lady Bird
188,197,179,Lady Bird
16,120,131,Lady Bird
135,155,166,City of God
86,87,91,City of God
28,27,26,City of God
204,220,229,City of God
179,129,92,City of God
72,77,68,Call Me by Your Name
114,122,109,Call Me by Your Name
13,14,8,Call Me by Your Name
185,210,194,Call Me by Your Name
144,158,141,Call Me by Your Name
145,126,92,Pan’s Labyrinth
2,1,0,Pan’s Labyrinth
209,176,133,Pan’s Labyrinth
81,66,48,Pan’s Labyrinth
239,225,200,Pan’s Labyrinth
78,128,132,Spirited Away
189,149,102,Spirited Away
41,34,28,Spirited Away
128,80,63,Spirited Away
213,206,179,Spirited Away
